"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: a","Param: b"
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.910816,0.268925,"ns/op",0,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.851549,0.102318,"ns/op",0,1
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,73.198637,0.235136,"ns/op",0,5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,74.842810,0.182486,"ns/op",0,10
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.957442,0.379362,"ns/op",0,100
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.811887,0.175358,"ns/op",0,1000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,76.175136,0.587615,"ns/op",0,10000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.997016,0.462640,"ns/op",5,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.909379,0.112413,"ns/op",5,1
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,73.235286,0.197459,"ns/op",5,5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,74.705160,0.172981,"ns/op",5,10
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.793954,0.267193,"ns/op",5,100
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.822609,0.130725,"ns/op",5,1000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.799321,0.173612,"ns/op",5,10000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.778934,0.160166,"ns/op",30,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.801202,0.072077,"ns/op",30,1
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,73.221585,0.365376,"ns/op",30,5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,74.841063,0.165345,"ns/op",30,10
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.859242,0.150107,"ns/op",30,100
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.882711,0.140581,"ns/op",30,1000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.892563,0.466423,"ns/op",30,10000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,52.032291,0.504357,"ns/op",45,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.893314,0.185180,"ns/op",45,1
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,73.232655,0.281736,"ns/op",45,5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,74.954824,0.169509,"ns/op",45,10
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.911694,0.351960,"ns/op",45,100
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.895301,0.174525,"ns/op",45,1000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.894513,0.138035,"ns/op",45,10000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,52.012629,0.442497,"ns/op",60,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.820898,0.080798,"ns/op",60,1
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,73.172835,0.245605,"ns/op",60,5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,74.756218,0.101723,"ns/op",60,10
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.811179,0.193766,"ns/op",60,100
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.804196,0.176701,"ns/op",60,1000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.850746,0.179972,"ns/op",60,10000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.953994,0.459981,"ns/op",85,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.817130,0.100670,"ns/op",85,1
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,73.289607,0.290031,"ns/op",85,5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,74.959809,0.494878,"ns/op",85,10
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.882444,0.234483,"ns/op",85,100
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,76.120286,0.511787,"ns/op",85,1000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,75.872599,0.180800,"ns/op",85,10000
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.841576,0.125610,"ns/op",90,0.5
"org.nusco.narjillos.jmh.FastMathBenchmark.baselineAtan","avgt",2,10.000000,51.758872,0.167057,"ns/op",90,1
